state,jobs
"hi",-.4650187
"vt",-.4299532
"ks",-.3970361
"nh",-.3869663
"ut",-.3806565
"mo",-.3785458
"az",-.3765292
"co",-.3622569
"nm",-.3607286
"nv",-.3606958
"ma",-.3562918
"fl",-.3535325
"in",-.3524448
"me",-.3483412
"tx",-.345511
"id",-.3439983
"or",-.3421778
"mn",-.341282
"wv",-.3396535
"mt",-.3374423
"nd",-.3360669
"ny",-.3301935
"pa",-.327212
"wi",-.3219616
"il",-.3182323
"ca",-.3161683
"mi",-.3143212
"ga",-.3131356
"ar",-.3121147
"nc",-.3050622
"oh",-.3038872
"ct",-.3038035
"sc",-.3036399
"de",-.3006137
"ri",-.2987465
"tn",-.2985376
"nj",-.2964873
"ne",-.2936644
"wa",-.2919721
"ok",-.2901908
"wy",-.2817887
"la",-.2810544
"ms",-.2797741
"va",-.2786778
"ia",-.2731311
"md",-.2696545
"ak",-.2668171
"sd",-.2632353
"al",-.2596532
"dc",-.2569946
"ky",-.2291232
